你和山田君处的怎么样了？|山田君とどうしたの？
哦呀。遇见了个少见的面孔|おや。珍しい顔に会った
礼貌地摘下了戴着的头盔的，不是别人，正是御影之丘学园的学生会长，四条凛香学姐。|律儀にかぶっていたヘルメットを脱いで現れたのは、誰あろう、御影ヶ丘学園の生徒会長、四條凛香先輩だった。
这可是我该说的话啊|それは、俺の台詞ですよ
那个。四条学姐你是走这边的么……？|あの。四條先輩ってこっちでしたっけ……？
今天而已。想着来看看这边樱花的开花情况|今日はちょっとね。こちらの桜の咲き具合を見に来ようと思って
樱花开花情况么|桜の咲き具合ですか
我倒是感觉不管怎么看，城里到处开着的樱花都没多大区别。|街の方々で咲いている桜は、どこで見ても、そう変わるものじゃないと思うけど。
毕竟一年只开一次呢。我都会走遍城里樱花开过的地方|年に一度のことだからね。町中の桜をたずねて歩いてるのよ
话说，你凑人数还凑得顺利么？|で、人数集めはうまくいってるの？
稍微有点……|ちょっとは……
不过，感觉也没有什么正当的理由。所以果然还是感觉，有点不好意思|でも、なんかちゃんとした理由もないから。やっぱり、悪い気がしますね
我在想真的可以就那样继续使用活动室么|本当にあのまま部室を使っていいのかなって
啊啦啊啦|あらあら
不过倒是比没点理由就来纠缠的家伙要好就是了|まぁ、さしたる理由もなく、しがみつく連中よりはマシなんでしょうけどね
大家都是自说自话。把自己的个人利益，说得好像有什么大义名分一样|皆、好き勝手言ってるわ。個人的な都合を、さも大義名分みたいに
……|……
总感觉，走在路上的四条会长的侧脸显得有些疲惫。|なんとなく、歩いている四條会長の横顔が疲れているように見えた。
没事吧？|大丈夫ですか？
嗯？什么|ん？なにが
不……|いや……
我觉得……你是不是有点累|疲れてるのかなって……思って
我么？看起来是这样么？唔……这样啊|私が？そう見えた？ふーん……そっか
四条学姐嗯嗯地似乎陷入了深思。|ふむふむと、四條先輩は、感慨深そうだ。
累不累这种自己的事，明明应该自己清楚的。|疲れてるかどうかなんて、自分のことなんだから、分かるだろうに。
「请教了！|「たのもう！
拳法部Ａ＆Ｂ|拳法部Ａ＆Ｂ
突然出现的是，露着膀子的男生们。|といきなり現れた、胴着姿の男子生徒たち。
要把我们少林寺拳法部的活动室让给西高的太极拳部是怎么回事，四条会长|我々少林寺拳法部の部室を、西高の太極拳部に渡すとはどういうことだ、四條会長
拳法部Ａ|拳法部Ａ
有什么好怎么回事的，我应该给过你们忠告|どういうこともなにも、忠告したはずだわ
部员只有两个，也没有正经的活动报告，一直是在活动室里玩游戏不是么|部員は二人だけ、ろくな活動報告もなく、部室でゲームばかりしていたでしょう
所以，我应该给过你们时间。我说过你们要是能增加部员并提出今后的活动方针，我就去和对方交涉做出协调|だから、猶予はあげたはずよ。部員を増やして今後の活動方針を提出すれば、先方にかけあって調整するって
而你们并没有这么做对吧|それをしなかったでしょう
所以，活动室就没收了|だから、部室は没収
让他人踏足我们的圣域什么的……|俺たちの聖域に他人を入れるなど……
拳法部Ａ|拳法部Ａ
我们两人的圣域！|俺たち二人の、聖域を！
拳法部Ｂ|拳法部Ｂ
武|たけし
拳法部Ａ|拳法部Ａ
敦|あつし
拳法部Ｂ|拳法部Ｂ
「我们的——|「俺たちの──
拳法部Ａ＆Ｂ|拳法部Ａ＆Ｂ
「Sancturya！|「サンクチュリア！
拳法部Ａ＆Ｂ|拳法部Ａ＆Ｂ
……|……
……|……
哈……真是的。总而言之没有成果是不能让你们用活动室的|はぁ……やれやれ。とにかく成果もなにもなく部室は使わせられないわ
成果的话，会让你看到的|成果なら、見せてやるさ
拳法部Ａ|拳法部Ａ
诶|え
喂，喂，干什么|お、おい、なにを
「接招啊啊啊啊啊|「きええええ
拳法部Ａ＆Ｂ|拳法部Ａ＆Ｂ
摆好架势的拳法部学长从左右两侧攻向了学姐——|身構えた拳法部の先輩が、左右から、先輩を強襲する──
然而……|が……
确实是让我见识到成果了|たしかに、成果を見せてもらったわ
好厉害啊……|すごいですね……
现在可不是感叹的时候。说不定明天就落到自己头上了哦？|感心してる場合じゃないわ。明日は我が身かもしれないのよ？
我？|俺が？
还、还请手下留情……|お、お手柔らかにしてください……
好了，得走了|さて、もう行かないと
学姐这么说着骑上自行车正准备走。|と言って、先輩は自転車に乗って行ってしまおうとする。
啊对了，国见君|あぁそうだ、國見君
在|はい
被学姐叫到名字，总感觉像是猝不及防一样心中怦然一动。|なんか先輩に名前を呼ばれると、不意を衝かれたみたいでドキっとする。
谢谢|ありがとう
学姐露出了开朗的笑容。|と、先輩は、どこか晴れ晴れと笑う。
学姐她……也会露出那样的表情啊。|先輩って……あんな顔もするんだな。
不过谢谢，是谢什么？|でもなにが、ありがとう？
诶？|はて
要迟到了要迟到了——|遅刻遅刻──
这次是看到一个穿御影浜校服的女生从对面冲了过来。|今度はむこうから御影浜の制服を着た子が、走ってくるのが見えた。
要迟到咯哦哦哦哦哦|おくれるよおおおおお
她以很快的速度冲过了我身边……|けっこうなスピードで俺の横を通り抜け……
然后像是要发出叽叽的刹车音似的猛地停了下来。|きいいっと、ブレーキ音を響かせるみたいに止まった。
是之前在花坛前面见过的那个女生。|いつか花壇の前で見た子だ。
早上好！|おはようございます！
她用力抬起手，像是敬礼一样跟我打了个招呼。|びしっと敬礼みたいに手をあげて、挨拶をしてくれる。
唔，嗯。早上好！|う、うん。おはよう！
我也跟着回了个礼。|俺もノリで、敬礼を返す。
那么再见！|それじゃぁ！
……|……
又是去了花坛么。|また花壇に用だったのかな。
早上好|おはよう
哟|よう
早——|おはー
我说……|なぁ……
嗯？|うん？
我在教室里，跟凉介和志乃说起了今早的事。|教室にて、涼介と志乃に、今日の朝の話をすることに。
四条学姐她|四條先輩ってさ
有个御影浜的女生|御影浜の子でさ
四条学姐她……似乎很辛苦啊|四條先輩ってさ……大変そうだよな
什么辛苦？|なにが？
要问什么辛苦。当然是统合之后……会多出各种纠纷的吧|何がって。統合して……いろいろと、しがらみも増えてるんじゃないかな
这也是当然的吧|そりゃそうだろうな
我们学校不是挺放任学生自治的么。所以似乎给了学生会相当大的负担|うちの学園って、けっこう生徒の自治に任せてるところがあるだろう。それで、かなり生徒会に負担がいってるらしい
诶诶……|へぇ……
（这种事她完全没说过啊……）|（そんな話ぜんぜんしてなかったな……）
给我提出保住文艺部的建议，也是其中之一么。|文芸部を残すように助言してくれたのも、そのひとつなのかな。
要是真是如此的话，自己的努力说不定也能稍微帮到四条学姐一点……|だとしたら、自分のがんばりが少しは四條先輩のためになるのかもしれない……
有个御影浜的女生，经常来照顾旧校舍面前的花坛|御影浜の子でさ、旧校舎前の花壇を世話しにきてくれてる子がいるんだ
我知道啊。是个很小的女孩子对吧|知ってるよ。小さな子でしょ
说她很可爱的传闻在我们班也传开了|かわいいって、うちのクラブでも噂になってるよ
我们学校都没人去照顾么|世話するやつが、うちの学園にいないのかな
照顾是……|世話って……
不，大概很辛苦吧|いや、大変だろうし
应该……是吧|まぁ……ねぇ
要不干脆我去养好了|なんなら俺が育てようかなって
诶|え゛
你、你在说什么……|な、何言ってるの……
因为很在意啊|だって、気になるし
肮脏！|よこしまな！
肮脏！？|よこしま！？
光是照顾还好说，养是怎么回事？？你是用什么眼神看待女孩子的啊？？|世話をするだけならともかく、育てようってなに？？女の子をどういう目で見てるの？？
什么女孩子啊。我意思是……我来养花|なんだよ女の子って。花を……俺が育てようかなって
啊，啊……那个啊|あ、あー……そっち
难道你以为我说的是要去养那个女孩子么|俺があの子を育てようとか言ってると思ったのか
哈哈哈。吓我一跳|あはは。びっくりした
这时……|と……
姬野和新堂一起走进了教室。|姫野さんと新堂が一緒に教室に入ってくる。
新堂看见我，微微笑着竖起了手指。|俺を見つけた新堂が、少し笑いながら指をそっとたてる。
“昨天的事我帮你保密了哦”，这种感觉。|昨日の話は内緒にしておくよ、という感じだ。
是指我被姬野甩了那件事吧。|姫野さんにふられたうんぬんのことだな。
其实都无所谓……|別にいいのに……
再正式说一次|あらためて
请多关照|よろしく
请多关照|よろしく
放学后，三人便立刻聚集在了文艺部。|放課後、さっそく文芸部部室で三人集まる。
虽然人数还不够，但这也是新生文艺部开始后的第一天。|まだ人数は足りていないが、新生文芸部の活動第一日目だ。
总之，从今以后将以我们三个人开始活动|とりあえず、この三人でこれから活動していくことになる
你注意不要有两手捧花的感觉，起了色心啊|両手に花って感じで、鼻の下のばさないように
花，么。姬野暂且不提……|花、ねぇ。姫野さんはとにかく……
什么啊|なによ
没、没什么|な、なんでもない
嗯嗯。二位感情真好呢|うんうん。二人は、仲が良いんだねぇ
诶。诶。误会|え。え。誤解っ
姬、姬野同学才是，小学也跟国见君在一起……|ひ、姫野さんこそ、國見君とは小学校が同じわけだし……
嗯。所以，我松了口气呢。我很怕生……所以本来还担心转学过来能不能顺利|うん。だから、ほっとしたんだ。私人見知りで……転校してうまくやれるかなって心配してたから
请多关照咯。我还没什么朋友，所以能像这样接近女生我觉得很开心|よろしくねっ。まだお友達があまりいないから、女の子と、こうしてお近づきになるのうれしいです
唔，嗯……我也，很开心|う、うん……私も、うれしいです
诶嘿嘿|えへへ
哈呜|はぅ
（姬野同学好可爱。总感觉，好厉害，萌得我都头晕目眩了）|（姫野さん、かわいい。なんか、すごい、くらっとくる）
感觉我也能理解国见君为什么会喜欢上她了|國見君が惚れるのも分かる気がするなぁ
新堂靠近我耳边偷偷说道。|そっと新堂が近づいて耳打ちしてくる。
过去了的事了。过去了的|昔の話だっ。昔のっ
你要是把那档子事在姬野面前说出来了的话……|お前、そのことをもし姫野さんの前で持ち出すようなら……
说了又怎样啊|なによ
我就把你在御影浜时候的调皮样子抖出来|御影浜時代の、やんちゃっぷりをばらすっ
啊呜。有种现实的厌恶感。话说那好过分|あう。リアルにイヤだ。てかひどいよっ
…………盯——|…………じー
啊，抱歉|っと、ごめん
那个。如，如果可以的话，希望下次能带我参观一下城区呢……|あのね。よ、良かったら、今度街を案内してほしいなぁって……
诶！？呜，嗯。当然可以哦|え！？う、うん。もちろんいいよ
太好了。新堂同学看起来好像知道各种店呢。看来我会活得更加有女孩子的样子呢|よかった。新堂さんは、色んなお店知ってそうだなぁ。女の子らしい暮らしができそうだなぁ
总感觉姬野同学你，好像觉得我是时下稍微有点受欢迎的那种女生|なんか姫野さん、私のことを今時のちょっといけてる女の子と思ってそうなんだけど
不，嘛，也不知道她有没有那么具体的印象就是了……|いや、まぁ、そこまで具体的な印象を抱いているかは知らないけど……
会不会遇到艺人之类的么。好期待|芸能人とかに、会えるかなぁ。わくわく
好像对我抱以了各种期望来着|私にいろんな希望が、積み重なってるみたいなんだけどっ
比起那些，我可以说明作为文艺部的活动了么？|それより文芸部としての活動、いいか？
我干咳两声，表示接下来要说正事了。|こほんと咳払いをして、真面目な話に入るのだと、しめす。
两人停下对话，将注意力转向了我这边。|二人ともさすがに話をやめて、こちらに注目をする。
嘛，因为在你们两人看来差不多是被我邀请陪我加入的……所以我想你们大概对文学这种东西并不抱多大期待|まぁ、二人にしてみたら俺に声をかけられて付き合いで入ったようなもので……文芸というものに期するものが、さしてあるわけじゃないと思う
感觉说话变刻板起来了啊|なんか、堅苦しい物言いになりましたよ
那就是传闻中的，所谓文艺语么|あれが噂の、文芸語ってやつですかね
那边不要交头接耳。文艺语是什么鬼。我只是拼尽全力在说明而已|そこ、こそこそしない。文芸語ってなんだ。一生懸命話してるだけだ
请继续请继续|どうぞどうぞ続けて
那个……|その……
……|……
……|……
太、太过于严肃地看着我，这也……|あ、あまり真面目に見られても
不是你说要安静，我们才静静地看着你的么|あんたが静かにしろって言ったから、静かに見てるんでしょうがっ
不，嗯……希望你们能适度发出声音并安静地看着啊|いや、うん……適度に、音をたてつつも静かに見て欲しいかな
（这样啊？）|（なるほど？）
（好麻烦）|（めんどくさい）
那个|えと
入部的经过先不谈，难得你们加入了，我希望你们能接触一下文艺部……文学这种东西的魅力|経緯はともあれ、せっかく入ったんだから、文芸部……文芸っていうものの魅力に触れて欲しいって思うんだ
要说这是为什么的话，不是我耍帅，是因为我真的觉得所谓文学，是能最大限度引出读书乐趣的东西|それはなんでかっていうと、別にかっこつけるわけじゃなくて、文学ってのが、本の楽しみを最大限引き出しているものだからだと思うんだ
文字所表现出的美感，恐惧之类……还有像率真一样的东西，我觉得在其他事物中还是很难能寻得的|文字が表現している美しさとか、怖さとか……率直さみたいなものは、やっぱり、他には得がたいものだと思う
要是能通过在这里向你们介绍一些书，让你们明白那些的话就好了……我是这么想的|そういうものを、ここで、いくつかの本を紹介しながら分かってもらえたらいいな……って思う
但是我能讲的只有我读过的范围……说实话要是有懂得更多一点的顾问老师就好了……|だけど俺は俺が読んだことのあるものの範囲でしか語れないし……ほんとはもっといろんなことを知っている顧問の先生でもいたらいいんだけど……
没有么？那样的老师|いないの？そういう先生
嗯。教我们班现代国语的林老师被棒球部那边找去了。其他就找不到了|うん。うちの現国の林先生は、野球部の方にとられてるから。他にいないんだとさ
虽然姑且请了教世界史的厚木老师当了顾问，但他只挂了名，根本不会来露面|一応、世界史の厚木先生が顧問ってことになってるんだけど、名前だけで顔を出すことは、まずないんだ
毕竟那个人看起来对文艺根本没兴趣。|あの人そもそも、別に、文芸に興味無さそうだし。
感觉一副徒有历史的社团的样子，在曾经出名的顾问卸任后，不知是不是因为有些纠葛，似乎没有人愿意来当。|どうも歴史だけはあるクラブらしくて、かつての名物顧問が辞めてからは、しがらみもあってか、なり手がいないらしい。
这样啊|そうなんだ
说起来，你说过要被认可为社团，最少需要四个人吧|そういや、クラブとして認められる人数って、最低四人って言ってたよね
是的|そう
这不是才三人么|まだ三人じゃん
是的|そう
这不是不行么|ダメじゃん
是不行啊|ダメだぜ
为什么你这么悠哉悠哉的！？|なんでのんびり構えてるの！？
呜诶|ふへ
呜诶什么啊|ふへ、じゃないっ
嘛，毕竟也没其他人可找了。我想，能不能通过表现来获得他们认可 |まぁ、他にあてもなかったし。こう、がんばりを評価してくれたりするかなぁって
姑且，我们社团还是有好几个幽灵部员，现状就是算上那些人，让四条学姐让步|一応、うちのクラブ幽霊部員が何人かいて、それと合わせ技で、四條先輩には許してもらってる状態というか
嘛，虽然那些幽灵部员似乎也没有要回来的意思就是了。|まぁ、その幽霊部員も、どうやら戻ってくる気配はないけど。
好厉害的安全判定……这个男人，不知该说是不重细节还是随意，有点吓人啊|すごいセルフジャッジ……。この男、時々アバウトというかいい加減で、怖くなるわ
嗯。是呢。会有办法的。肯定能得到理解的|うん。そうだよね。なんとかなるよ。分かってくれるよ
姬野同学？？？|姫野さん？？？
对吧|だよな
对吧！|だよね！
……|……
这俩人，没救了|だめだ、この二人
嗯？|ん？
感觉有人在叫我|呼ばれた気がしたな
感觉好像被叫到了|呼ばれた気がしたわね
什……|な……
为什么凉介和志乃也在这里啊|なんで涼介と志乃もこっちにいるんだ
我幡然醒悟。现在的我所欠缺的是……文武双全|私は悟ったね。今の私に欠けているもの……文武両道
在今后，社会需求的会是兼具知性的体育人|これからは、インテリジェンスもそなえたスポーツマンが求められているっ
志乃不知为何斗志昂扬。|なにやら闘志に燃えている志乃。
她好像因为战术理解能力匮乏之类的，被踢出了首发阵容|戦術理解がとぼしいとかで、スタメンを外されそうらしい
这样啊……|そうなのか……
综上所说，给我介绍点能让脑子变好的书。小洸～|ということで、頭良くなる本教えて。こうちゃん～
教科书|教科書
想你也会这么说！|だろうよ！
凉介你又是为何？|涼介はどうして？
他一边挠着头一边说。|ぼりぼりと頭をかきながら。
我们的影研，结果和西高的SF研合并了，但总感觉那里气氛太热闹了|うちの映研、結局、西学のＳＦ研と合併したんだけど、なんか暑苦しくなってきてさ
于是就来避难了么|それで避難してるわけ
对我来说，你这样的节奏刚刚好|俺には、お前ぐらいのノリがちょうどいいんだ
那么，总之就先这样去向学姐报告吧|じゃぁ、とにかくこれで先輩に報告に行こうか
一路走好|いってらっしゃい
是要大家一起去好么！！|皆で行くんだよ！！
要去见会长大人么？？|会長様に会いに行くの？？
大人是……|様って……
我是觉得她有点可怕什么的……|なんかちょっと怖い、かな……
嘛，你的感受我倒也能理解|まぁ、気持ちは分かるけど
来到学生会室门前，敲了敲门。|生徒会室の前まできて、扉をノックしてみる。
噢噢。感觉莫名地紧张起来了。和去办公室的时候比，有种不同的压力啊|おおう。なんか緊張してきた。職員室行くのとは、また違うプレッシャーがあるな
凉介没跟会长说过话吗？|涼介は話したことないんだ？
和会长单独对话的机会什么的，没那么多的啊|会長さんとタイマンで話す機会なんて、そうそうないよなぁ
……|……
不在么。|いないのかな。
但感觉里面有人在啊。|でも人の気配はするんだよな。
打扰了……|失礼しまーす……
啊……|あ……
是在谈事情么。|取り込み中だったのか。
但说起来，这……总感觉突然有种一触即发的气氛……|それにしても、これは……なんかいきなり、鬼気迫る雰囲気……。
三个学生气势汹汹地围着坐在最里面的书桌前的四条学姐。|奥の机に座る四條先輩を、三人の生徒が仁王立ちのようにして取り囲んでいる。
虽然他们瞥了这边一眼，但又立刻转了回去，接着继续起之前对话。|ちらりとこちらに一瞥をくれるものの、すぐに向き直って、そのままさきほどの会話の続きに入る。
我们都已经陆续进来了，就这样出去也显得很滑稽，于是便都呆立在了原地，围观起了学姐她们的对话。|俺たちはぞろぞろと入ってきた手前、そのまま出て行くのも滑稽で、揃って立ち尽くして、先輩達のやりとりを眺める格好になってしまった。
说到底啊|そもそもね
这次统合本身……不知是不是真的是从四月才开始的，直到去年冬天为止，连教职工都还不知道|この統合自体……本当に四月から始めるのか、去年の冬まで、職員ですら分かってなかったのよ
决定传达到我这里是在二月之后，那之后转瞬之间就是春假了。要让我在那种情况下进行准备也有点太强人所难|私に決定が伝えられたのは二月になってから、そこからあっという間に春休みだわ。準備を進めておけっていうのは無理があるわね
听了学姐的话，围着她的人中的一个女生以平静但明显带着责备意思的语气向学姐逼问道。|先輩の言葉をうけて、取り囲んでいるうちの一人の女子生徒が静かな、けど明らかに責める調子で、先輩に詰め寄る。
那些都是你们那边的问题。就算那样也要在之前做好准备，不就是你们的责任么|そんなん、そっちの事情や。それでも前もって準備しておくのが、責任っちゅーもんじゃないんかい
樱代学园的少女|桜代学園の少女
我们提出过很多次协商，当时应该是你们拒绝了才对吧|こちらから何度も協議を申し込んだけど、拒否をしたのは、そちらだったはずだわ
毕竟不能那么随意去别人学校打搅啊|そうそう人さまの学園に、お邪魔するわけにもいかんので
樱代学园的少女|桜代学園の少女
从四月开始就要成为御影之丘的学生了，当时不要嫌麻烦来个一两次不也没问题么|四月から、その御影ヶ丘くんだりの生徒になるんだから、面倒がらずに一度や二度、来てくれたらいいじゃない
大概是三年级的，穿着樱代的校服的女生和学姐带着静谧的斗志互相瞪视着。|恐らく三年生の、桜代の制服を着た女子生徒と先輩が、静かな闘志をぶつけながらにらみ合っていた。
不管怎么说时间都太过紧张了。要在在下个月的迎新祭之前解决，我想办法让我们这边的学生理解了这一点|いずれにしても時間がなさ過ぎるわ。来月の歓迎祭まで、ということでうちの生徒にはなんとか了解を得ているところなの
你们那边，能不能也加把劲把事情压下去呢|そちらはそちらで、がんばって、おさえこんでくれるかしら
努力倒是会努力，但毕竟我已经不是学生会长了。不知道学生会不会听没有任何权限的我的话就是了|がんばりますが、なにぶん、うちはもう生徒会長でもなんでもないので。何の権限もないうちの話を聞いてくれるかは分からんかもやけどなぁ
樱代学园的少女|桜代学園の少女
总而言之，我们那的学生和西高的学生们就像是在不习惯的地方，积累着各种不满。希望能够做出迅速的对应|とにかく、うちのもんや、西高の生徒達は慣れない場所で、フラストレーションがたまってるみたいなんや。迅速な対応をお願いしたいもんです
樱代学园的少女|桜代学園の少女
对吧，西高的会长|ねぇ、西学の会長さん
樱代学园的少女|桜代学園の少女
诶，啊哈哈。算是，那样吧。大家都东说西说的|え、あはは。まぁ、そうですね。皆、いろいろと、口にしてます
御影之丘西学园会长|御影ヶ丘西学園会長
不，我倒是无所谓。但似乎果然还是有人在意的。哈哈|いや、僕は別にいいんですけど。やっぱり気になる人はいるみたいで。はは
御影之丘西学园会长|御影ヶ丘西学園会長
我会妥善处置的。作为会长，没能做到最好我道歉|善処するわ。会長として、至らなくて謝ります
不敢当。毕竟没有先例……很抱歉浪费了你的时间。走吧|とんでもないことですわ。なにぶん前例のないことよって……時間もろうて、すいませんでしたわ。ほな
樱代学园的少女|桜代学園の少女
不知是不是会议终于结束了，学生们走向了我们所在的门的方向。|やっと会議も終わったのか、生徒達は俺たちがいる扉の方へ歩いてくる。
……|……
樱代学园的少女|桜代学園の少女
樱代的女生扫了我一眼，露出了稍微有些意外的表情。|桜代の女子は、ちらりと俺を見て、少し意外そうな顔をした。
我们见过么……|知り会いだったかな……。
然后再擦肩而过时，|そしてすれ違いぎわに、
辛苦你了|おつかれさん
樱代学园的少女|桜代学園の少女
她眯起眼，随意拍了拍我的肩膀后走掉了。|目を細くして、気安く俺の肩をたたいて去って行った。
……|……
怎么回事啊……|なんだったんだろう……
学生们离开后，稍微思考了一下的学姐缓缓站起身来，以万岁似的姿势舒展了一下身体。|生徒達が去って行き、しばらく考え込むようにしていた先輩はおもむろに立ち上がると、バンザイするようにしてのびをした。
不好意思。让你们久等了|悪かったわね。おまたせしたわ
不。我们才是，抱歉打扰了|いえ。こちらこそ、すいませんでした
那，文艺部部长，国见君。是先前的事吧|で、文芸部部長の、國見君。先日の件よね
你身后的是新部员？一，二……这不挺厉害的么|後ろにいるのが新入部員？ひーふー……すごいじゃない
不，抱歉。这里面有两个人只是来玩的|いや、すいません。この中の二人は遊びに来てるだけなんです
诶诶诶。这么干脆就抖出来了！|えええ。あっさりばらした！
反正一下就会暴露的啊|ばれるよ、どうせすぐに
这是怎么回事？|どういうことかしら？
哎呀，我本来以为是觉得当场说他们是部员糊弄一下，事后说他们退出了说不定就能混过去|いやぁ、とりあえずその場をしのいで言質をとれば、後々やめたことにしてもなんとかなるかなぁって思いましたけど
但果然还是觉得会暴露|やっぱりばれそうなんで
虽然也有刚才看到学姐她们严肃地讨论，感觉自己无地自容的原因……|さっき真剣に議論している先輩を見て、自分が情けなくなったってのもあるけど……。
哈……什么啊这是|はぁ……なにそれ
学姐无语似地深深叹了口气。不过这也是当然的。|あきれたように、深いため息をつく先輩。まぁ当然だ。
嘛，看你悬崖勒马，就不多追究了。不管怎么说，都还差一个人啊……|ま、一歩手前で思い直したみたいだから、不問にするけど。いずれにしても、一人足りないということね……
这样没问题么|いいんですか
嘛，也没什么不好吧|まぁ、いいんじゃない
对其他社团也有这种程度的通融的。不然的话到处的社团都被拆，我难保不会被暗地里下手啊|他のクラブにもこのくらいの融通きかせてるわ。じゃないと、つぶれるところだらけで、私なんて、闇討ちにあいかねないわ
……哈哈。是这样么|……はは。そうなんですか
结果也就是说，不在新欢前召集到部员的话，不管哪个社团都是不能被承认为社团的|結局、どこも新歓で部員を集められなければ、部としては成立しないってことよ
新欢……？|新歓……？
你们知道黄金周过后有新生的欢迎祭的吧？|ＧＷ明けに新入生の歓迎祭があるのは知ってる？
啊，啊……说起来|あ、あぁ……そういや
一年前也搞过来着。|一年前にもやってたな。
那个时候，应该是在入学后立刻开办的就是了。|その時は、入学直後にあったはずだけど。
因为今年情况很混乱，所以延期了很久|今年はごたごたしてるから、かなり先になってるの
因为在这样的状况下新生也不好决定正式加入哪个社团。所以就将新生欢迎会之前都定为了体验入部的时限|こんな状況じゃ新入生も正式な入部も決められないから。新入生歓迎会までは、仮入部期間ということにするのよ
在那之前，这件事就暂缓吧|そこまで、この件は保留するわ
没问题么|いいんですか
感觉好像一直在让我们暂缓。|なんだかずっと保留にしてもらってるような。
也并不是给文艺部特殊对待|別に文芸部を特別扱いしてるってわけじゃないわよ
结果去年那么匆忙，统合后的社团会变成怎样……这一点，没能好好传达下去。这是学生会的责任|結局去年はばたばたしてて、統合後のクラブがどうなるかとか……ちゃんと、周知させることが出来なかったわ。それは生徒会の責任
然后，新学期一开始就让少了三年级学生的小社团让出活动室来也还是太过分了|それで、新学期からいきなり三年生がいなくなって零細クラブになったから部室を明け渡せって言うのもやっぱり酷なのよ
所以，我们决定对只要是有一点干劲的社团，先观察一下情况|だから、少しでもやる気があるなら、様子を見ようってことになってるの
当然，看不到改进的社团的活动室，是会立刻没收的|もちろん、改善の見られないクラブからは、さっさと部室を取り上げてるけど
在上学路上前来袭击的拳法部……|登校中に襲ってきた拳法部……
大概是要像那样想办法取得平衡吧。|そうやってなんとかバランスをとっているということなんだろう。
现在看来，来自樱代和其他统合过来的学生压力似乎也很大。|見たところ、桜代や他の統合組の生徒からの突き上げも厳しそうだし。
总感觉好像很辛苦呢|なんだか大変なんですね
毕竟我们学校挂着学生自治的名号，相当依赖学生会啊。|うちの学園って、学生の自治の名の下に、けっこう生徒会任せなところがあるからなぁ。
谢谢|ありがとう
要是你这么想，就来加入学生会啊。国见君|そう思うなら、生徒会に入ってよ。國見君
诶。我么|え。俺がですか
请叫我狗|犬と呼んでください
既然学姐都这么说了|先輩がそう言うなら
那种事不行的啦|無理ですよそんな
请叫我狗|犬と呼んでください
少年好志气。但是我并没有那种兴趣|良い心がけね。でも私、別にそういう趣味はないから
是、是这样么|そ、そうでしたかっ
……国见君你没事吧？|……國見君は大丈夫？
……大概|……多分
哈哈。开玩笑的啦。我只是在试探学姐|はは。冗談ですよ。先輩を試したんです
哈哈|はは
……|……
一同|一同
我说，你们那眼神是怎么回事。肯定是开玩笑的好么汪|な。なにその目は。冗談に決まってるわん
既然学姐都这么说了……我就……|先輩がそういうなら……俺……
诶？|え？
「诶|「え゛
星奏＆彩音|星奏＆彩音
没问题么？|いいの？
嘛，毕竟不能违抗会长的命令|まぁ、会長命令には逆らえません
文艺部要怎么办啊？|文芸部はどうなるの？
嘛，船到桥头自然直。比起那个我还是去帮助现在很辛苦的学生会……|まぁ、どうにかなるでしょう。それより今は大変な生徒会の力に……
国见君……|國見君……
四条会长……|四條会長……
「喂！！|「ごらぁ！！
星奏＆彩音|星奏＆彩音
呜噢|うお
干嘛一边制造气氛，一边像是要被挖过去啊|なに雰囲気出しながら、取り込まれそうになってるのよ
感觉莫名地被学姐的向心力迷得飘飘然了|なんか、先輩のカリスマにふらふらと
什么飘飘然啊——|なにがふらふらとだよ－
诶诶。不行的啦。那种事|ええ。無理ですよ。そんな
玩笑玩笑。毕竟你那边本来就已经忙得够呛了|うそうそ。君はただでさえ、こっちでいそがしいんだもんね
请不要开奇怪的玩笑|妙なウソを言わないで下さい
但是，说不定有一半是认真的……|でも半分、本気かも……
！？|！？
刚才，你是不是犹豫了一下？|今、ぐらっとこなかった？
没有没有|きてないきてないっ
那个～～。能麻烦你不要劝诱我们的部长去做那种事么？|あの～～。うちの部長をそんなことに勧誘しないでくれますか？
哎呦好可怕。有种“不许对我们的国见君出手”的感觉呢|おっと怖い。私たちの國見君に手を出すなって感じね
谁啊！|誰が！
话说回来，这么多人在这有点挤啊|それにしても、これだけ人数がそろうとせまいねぇ
你们俩已经可以走了|二人はもう帰って良いんだぞ
对了，要不要去家庭餐厅之类的地方开个欢迎会什么的|そうだ、ファミレスかどっかで、歓迎会でもしようか
真不愧是新堂同学，真是时髦的提案呢|さすが新堂さん、お洒落な提案だね
诶，诶诶。时髦么……姬野同学，从刚才开始你是不是就带着很深的有色眼镜在看我啊？|え、ええ。お洒落かな……姫野さん、さっきからすっごい色眼鏡で私を見てない？
不错不是么。用活动费大搞一场就好|いいんじゃないの。部費で盛大にやればいいわ
诶，诶诶。活动费什么的没拿到过啊|え、ええ。部費なんてもらってないですよ
啊，从去年的后期开始，就停止给非公认社团发放预算了来着|あぁ、去年の後期から、非公認クラブは予算止めてるんだった
没想到竟然已经变成那样了|そんなことになっていたとは
没想到你竟然完全没有发现已经变成那样了，是这样才对|そんなことになっていたことに全然、気づいてなかったとは、だわ
也是没办法的吧。那么，就让部长请客吧|しょうがないじゃない。じゃあ、部長のおごりかな
赞成！|賛成！
赞成|賛成
喂喂喂喂|おおおおおい
